2018-07-05 09:32:00.668192;{"average_price_thb": 4.807875357999824, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:32:32.201804;{"average_price_thb": 4.807875937628027, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:33:03.674399;{"average_price_thb": 4.807875937628027, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:33:35.193778;{"average_price_thb": 4.807909315441601, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:34:06.733016;{"average_price_thb": 4.807909315441601, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:34:38.362425;{"average_price_thb": 4.780154568383193, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:35:10.345379;{"average_price_thb": 4.780154568383193, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:35:41.637790;{"average_price_thb": 4.780545190477467, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:36:13.042297;{"average_price_thb": 4.780545190477467, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:36:45.084219;{"average_price_thb": 4.780545192354226, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:37:16.825115;{"average_price_thb": 4.780545192354226, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:37:48.476519;{"average_price_thb": 4.780548679461437, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:38:20.159302;{"average_price_thb": 4.780548679461437, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:38:51.664307;{"average_price_thb": 4.7817229958664855, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:39:23.444415;{"average_price_thb": 4.7817229958664855, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:39:55.196583;{"average_price_thb": 4.78169947059611, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:40:26.721020;{"average_price_thb": 9.44339929468074, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:40:58.406673;{"average_price_thb": 9.44339929468074, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:41:30.141184;{"average_price_thb": 4.186797897053532, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:42:01.997177;{"average_price_thb": 4.186797897053532, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:42:33.939713;{"average_price_thb": 4.1867980882187705, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:43:05.703863;{"average_price_thb": 4.1867980882187705, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:43:37.347631;{"average_price_thb": 4.197852178646128, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:44:09.232177;{"average_price_thb": 4.197852178646128, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:44:40.903021;{"average_price_thb": 4.196715099479757, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:45:12.562598;{"average_price_thb": 4.196715099479757, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:45:44.121789;{"average_price_thb": 4.196715099482031, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:46:15.662687;{"average_price_thb": 4.196715099482031, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:46:47.152664;{"average_price_thb": 4.196715099482031, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:47:18.688994;{"average_price_thb": 4.196715099482031, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:47:50.192597;{"average_price_thb": 4.196715103904689, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:48:21.675661;{"average_price_thb": 4.196715103904689, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:48:53.544359;{"average_price_thb": 4.196719985673989, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:49:25.151682;{"average_price_thb": 4.196719985673989, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:49:56.752275;{"average_price_thb": 4.1965478815042285, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:50:28.462720;{"average_price_thb": 4.196547900577715, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:50:59.974955;{"average_price_thb": 4.196547900577715, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:51:31.607524;{"average_price_thb": 4.19991693763004, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
2018-07-05 09:52:03.120082;{"average_price_thb": 4.19991693763004, "symbols_count": 600, "average_change_pct": 0, "total_shares_value_thb": 0.0};
